,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
654,Savigny-lès-Beaune,Savigny-lès-Beaune 2020,2020,Savigny-lès-Beaune,0,Domaine de la Vougeraie,67.0,4.2,637
655,Riesling Alsace Grand Cru Geisberg,Riesling Alsace Grand Cru Geisberg 2007,2007,Alsace Grand Cru,0,Andre Kientzler,67.0,4.1,699
656,Vecchio Samperi,Vecchio Samperi N.V.,N.V.,Marsala,1,Marco de Bartoli,67.11,4.2,950
657,Clos du Murger Meursault,Clos du Murger Meursault 2019,2019,Meursault,0,Albert Grivault,67.2,4.3,1166
658,Les Tessons Meursault,Les Tessons Meursault 2015,2015,Meursault,0,Caillot,67.3,4.0,92
659,Pouilly-Fuissé Le Clos Monopole,Pouilly-Fuissé Le Clos Monopole 2020,2020,Pouilly-Fuissé,0,Château Fuissé,67.5,4.4,2237
660,La Moynerie Pouilly-Fumé,La Moynerie Pouilly-Fumé 2020,2020,Pouilly-Fumé,0,Michel Redde,67.68,4.0,5396
661,Sancerre Jadis,Sancerre Jadis 2019,2019,Sancerre,0,Henri Bourgeois,67.68,4.2,1660
662,Sancerre Jadis,Sancerre Jadis 2018,2018,Sancerre,0,Henri Bourgeois,67.68,4.2,1660
663,Sancerre Jadis,Sancerre Jadis 2020,2020,Sancerre,0,Henri Bourgeois,67.68,4.2,1660
664,Tiglat,Tiglat 2019,2019,Weinland,0,Velich,67.7,4.3,887
665,Lenswood Vineyard Chardonnay,Lenswood Vineyard Chardonnay 2019,2019,Adelaide Hills,0,Shaw + Smith,67.8,4.3,315
666,Baron de L Pouilly-Fumé,Baron de L Pouilly-Fumé 2019,2019,Pouilly-Fumé,0,de Ladoucette,67.9,4.4,9040
667,Rebula,Rebula 2017,2017,Primorje,0,Svetlik,67.98,3.8,297
668,Glesie Climat,Glesie Climat 2016,2016,Friuli-Venezia Giulia,0,Vie di Romans,67.98,4.6,37
669,Sancerre D'Antan,Sancerre D'Antan 2020,2020,Sancerre,0,Henri Bourgeois,68.0,4.3,2515
670,Blanc de Lynch-Bages,Blanc de Lynch-Bages 2019,2019,Bordeaux,0,Château Lynch-Bages,68.0,4.1,3483
671,Chablis Grand Cru 'Vaudesir',Chablis Grand Cru 'Vaudesir' 2020,2020,Chablis Grand Cru 'Vaudesir',0,Garnier et Fils,68.0,4.4,406
672,Chardonnay,Chardonnay 2017,2017,Yarra Valley,0,Yarra Yering,68.0,4.0,716
673,Where Dreams have no end (W... Dreams...),Where Dreams have no end (W... Dreams...) 2020,2020,Venezia Giulia,0,Jermann,68.0,4.3,6140
674,Chablis Grand Cru 'Les Preuses',Chablis Grand Cru 'Les Preuses' 2017,2017,Chablis Grand Cru 'Preuses',0,Chanson,68.18,4.2,207
675,Isidor,Isidor 2019,2019,Vigneti delle Dolomiti,0,Vignaiolo Fanti,68.28,4.1,369
676,Chassagne-Montrachet 1er Cru 'La Romanée',Chassagne-Montrachet 1er Cru 'La Romanée' 2021,2021,Chassagne-Montrachet 1er Cru 'La Romanée',0,Domaine Bachelet-Ramonet,68.58,4.3,308
677,Brutus Rebula,Brutus Rebula 2019,2019,Goriška Brda,0,Ferdinand Matjaž Četrtič,68.58,4.0,67
678,Chardonnay,Chardonnay 2017,2017,Sta. Rita Hills,0,Racines,68.7,4.3,375
679,Beaune 1er Cru 'Clos Saint-Landry' (Monopole) Blanc,Beaune 1er Cru 'Clos Saint-Landry' (Monopole) Blanc 2018,2018,Beaune Premier Cru,0,Bouchard Père & Fils,68.9,4.2,846
680,Meursault Poruzot Premier Cru,Meursault Poruzot Premier Cru 2004,2004,Meursault 1er Cru 'Porusot',0,Domaine Alain Patriarche,69.0,4.2,123
681,Chablis Grand Cru 'Vaudesir',Chablis Grand Cru 'Vaudesir' 2019,2019,Chablis Grand Cru 'Vaudesir',0,Garnier et Fils,69.0,4.4,406
682,Pessac-Léognan Blanc (Grand Cru Classé de Graves),Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2011,2011,Pessac-Léognan,0,Château Malartic-Lagravière,69.0,4.0,1906
683,Majorum Pouilly-Fumé,Majorum Pouilly-Fumé 2020,2020,Pouilly-Fumé,0,Michel Redde,69.0,4.3,484
684,Meursault 'Le Village',Meursault 'Le Village' 2020,2020,Meursault,0,Edouard Delaunay,69.0,4.4,32
685,Riesling Alsace Cuvée Frédéric Emile,Riesling Alsace Cuvée Frédéric Emile 2016,2016,Elzas,0,Trimbach,69.0,4.1,10061
686,Chassagne-Montrachet 1er Cru 'Morgeot',Chassagne-Montrachet 1er Cru 'Morgeot' 2020,2020,Chassagne-Montrachet 1er Cru 'Morgeot',0,Vincent & Sophie Morey,69.0,4.3,109
687,Saint-Aubin Premier Cru 'Les Combes au Sud',Saint-Aubin Premier Cru 'Les Combes au Sud' 2020,2020,Saint-Aubin 1er Cru 'Les Combes au Sud',0,Jean Claude Bachelet & Fils,69.0,4.3,129
688,Fixin,Fixin 2015,2015,Fixin,0,Hubert Lignier,69.0,3.9,52
689,Aigle Noir Chardonnay,Aigle Noir Chardonnay 2019,2019,Languedoc-Roussillon,0,Gérard Bertrand,69.0,3.7,1028
690,Clos Béru Monopole Chablis,Clos Béru Monopole Chablis 2017,2017,Chablis,0,Château de Béru,69.0,4.2,1004
691,Vieilles Vignes Chablis Grand Cru 'Vaudesir',Vieilles Vignes Chablis Grand Cru 'Vaudesir' 1998,1998,Chablis Grand Cru 'Vaudesir',0,Domaine Guy Robin & Fils,69.0,4.1,88
692,Chardonnay Limoux Aigle Royal ,Chardonnay Limoux Aigle Royal  2013,2013,Limoux,0,Gérard Bertrand,69.0,4.2,645
693,Meursault,Meursault 2018,2018,Meursault,0,Henri de Villamont,69.1,4.1,139
694,Weissburgunder Südtirol Terlaner,Weissburgunder Südtirol Terlaner 2016,2016,Südtirol - Alto Adige,0,Muri-Gries,69.3,3.7,576
695,Goldloch Riesling GG,Goldloch Riesling GG 2021,2021,Nahe,0,Diel,69.38,4.1,662
696,Goldloch Riesling GG,Goldloch Riesling GG 2018,2018,Nahe,0,Diel,69.39,4.1,662
697,Neige d'Or,Neige d'Or 2017,2017,Valle d’Aosta,0,Les Crêtes,69.5,4.2,240
