,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
40,Beau Mayne Sauvignon Blanc Bordeaux,Beau Mayne Sauvignon Blanc Bordeaux 2014,2014,Bordeaux,0,Dourthe,6.48,3.3,536
41,Vendredi,Vendredi 2017,2017,Aude,0,Maison Le Jeune,6.5,3.7,42
42,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2022,2022,Côtes de Gascogne,0,Domaine du Tariquet,6.5,3.5,11944
43,Bergerac Sec,Bergerac Sec 2016,2016,Bergerac Sec,0,Château Vari,6.5,3.4,164
44,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2021,2021,Côtes de Gascogne,0,Domaine du Tariquet,6.5,3.5,11944
45,Les Parcelles Sauvignon Blanc,Les Parcelles Sauvignon Blanc 2021,2021,Het Loiredal,0,Réthoré Davy,6.503333333333333,3.7,486
46,Sauvignon Blanc,Sauvignon Blanc 2020,2020,Pays d'Oc,0,Côte des Roses,6.555,3.8,1172
47,Colombard - Sauvignon (Côtes Sauvage),Colombard - Sauvignon (Côtes Sauvage) 2022,2022,Côtes de Gascogne,0,Villa Dria,6.65,3.8,1147
48,Les Yeux dans les étotiles Blanc,Les Yeux dans les étotiles Blanc 2022,2022,Pays d'Oc,0,Alma Cersius,6.708333333333333,3.2,79
49,Les Parcelles Chardonnay,Les Parcelles Chardonnay 2022,2022,Het Loiredal,0,Réthoré Davy,6.75,3.5,227
50,Les Parcelles Chardonnay,Les Parcelles Chardonnay 2022,2022,Het Loiredal,0,Réthoré Davy,6.75,3.5,227
51,Bordeaux Blanc,Bordeaux Blanc 2020,2020,Bordeaux,0,Château Roquefort,6.75,3.6,558
52,Retsina,Retsina N.V.,N.V.,Thessaloniki,1,Malamatina,6.78,3.2,3987
53,Ugni Blanc - Colombard Côtes De Gascogne Classic,Ugni Blanc - Colombard Côtes De Gascogne Classic 2021,2021,Côtes de Gascogne,0,Domaine du Tariquet,6.9,3.5,823
54,Le Clandestin Sauvignon,Le Clandestin Sauvignon 2021,2021,Pays d'Oc,0,Sainte Marie des Crozes,6.9,3.5,155
55,Le Bordeaux de Maucaillou Blanc (B),Le Bordeaux de Maucaillou Blanc (B) 2021,2021,Bordeaux,0,Château Maucaillou,6.9,3.5,429
56,Pinot Grigio,Pinot Grigio 2021,2021,Veneto,0,Campagnola,6.9,3.8,2356
57,Le Canon du Maréchal Muscat - Viognier,Le Canon du Maréchal Muscat - Viognier 2022,2022,Côtes Catalanes,0,Cazes,6.9,3.6,1635
58,Tiberius Blanc,Tiberius Blanc 2022,2022,Pays d'Oc,0,Les Vignerons du Sommiérois,6.9,3.3,83
59,Ninet de Péna Blanc,Ninet de Péna Blanc 2022,2022,Côtes Catalanes,0,Château de Péna,6.9,3.5,51
60,Les Camines Blanc,Les Camines Blanc 2022,2022,Côtes Catalanes,0,Dom Brial,6.95,3.7,73
61,Harmonie de Gascogne Blanc,Harmonie de Gascogne Blanc 2021,2021,Côtes de Gascogne,0,Domaine de Pellehaut,7.0,3.8,7858
62,Crazy Blanc,Crazy Blanc 2022,2022,Côtes de Provence,0,Domaine Tropez,7.1,3.7,356
63,Trebbiano - Chardonnay,Trebbiano - Chardonnay 2022,2022,Rubicone,0,É Gòt,7.1,3.3,356
64,Côtes du Rhône Blanc,Côtes du Rhône Blanc 2017,2017,Côtes du Rhône,0,Domaine Martin,7.11,3.3,45
65,Chenin Blanc (Free-Run Steen),Chenin Blanc (Free-Run Steen) 2018,2018,Kuststreek,0,MAN,7.2,3.6,6115
